#    h   k   l   2Theta(deg)    |Fhkl|^2        Icor   fixed
     1   0   1        25.313    2.60e+04        1.05       1
     1   0   3        37.007    3.13e+03        1.00       1
     0   0   4        37.894    1.30e+04        1.00       1
     1   1   2        38.591    3.49e+03        1.21       1
     2   0   0        48.037    2.97e+04        1.00       1
     2   0   2        51.980    4.32e-13        1.00       1
     1   0   5        54.005    2.38e+04        1.00       1
     2   1   1        55.066    2.45e+04        1.00       1
     2   1   3        62.147    5.57e+03        1.00       1
     2   0   4        62.755    2.53e+04        1.00       1
     1   1   6        68.905    1.27e+04        0.92       1
     2   2   0        70.288    1.49e+04        1.00       1
     1   0   7        74.250    1.38e+03        1.00       1
     2   1   5        75.146    2.53e+04        0.91       1
     3   0   1        76.038    7.05e+03        1.00       1
     2   0   6        78.799    1.80e-09        1.00       1
     0   0   8        80.990    1.42e+03        0.76       1
     3   0   3        82.192    2.01e+03        1.00       1
     2   2   4        82.735    1.49e+04        1.00       1
     3   1   2        83.171    5.96e+03        1.00       1
     3   1   4        92.248    6.30e-10        1.00       1
     2   1   7        93.434    2.13e+03        1.00       1
     3   0   5        94.300    7.86e+03        1.00       1
     3   2   1        95.167    9.11e+03        1.00       1
     1   0   9        98.641    6.12e+03        0.91       1
     2   0   8       100.063    3.97e+03        1.00       1
     3   2   3       101.273    2.91e+03        1.00       1
     3   1   6       107.625    1.13e+04        1.07       1
     4   0   0       108.990    5.99e+03        1.25       1
     4   0   2       112.217    2.46e-10        1.00       1
     3   0   7       113.033    8.15e+02        0.00       1
     3   2   5       113.975    1.07e+04        1.15       1
     4   1   1       114.924    6.36e+03        1.50       1
     2   1   9       118.790    8.52e+03        1.00       1
     1   1  10       118.912    9.19e+03        1.36       1
     2   2   8       120.403    2.92e+03        1.76       1
     4   1   3       121.792    2.18e+03        1.00       1
     4   0   4       122.428    6.93e+03        2.05       0
     3   3   2       122.942    1.70e+03        1.00       1
     2   0  10       130.477    7.89e-10        1.00       1
     4   2   0       131.052    8.55e+03        1.44       1
     3   1   8       132.203    2.57e-11        1.00       1
     1   0  11       132.638    1.52e+03        1.43       1
     4   2   2       135.191    1.15e-10        1.00       1
     3   2   7       136.270    1.28e+03        0.97       1
     4   1   5       137.535    7.74e+03        1.95       0

